Animal,Weight
Meadow vole,0
North African elephant shrew,0
Rock mouse,0
Yellow-pine chipmunk,0
Common weasel,0
Red-nosed mouse,0
Pouched mouse,0
House shrew,0
Field vole,0
Rock dormouse,0
Greater red musk shrew,0
Yellow-footed marsupial mouse,0
Mountain pygmy possum,0
Spiny mouse,0
Least chipmunk,0
Pink fairy armadillo,0
Short-nosed elephant shrew,0
Pen-tailed tree shrew,0
Pale spear-nosed bat,0
Red-tailed phascogale,0
Typical striped grass mouse,0
Merriam's kangaroo rat,0
California mouse,0
Swamp antechinus,0
Jamaican fruit-eating bat,0
Panamanian spiny pocket mouse,0
Dusky antechinus,0
Prairie vole,0
Guatemalan deer mouse,0
Brandt's vole,0
Dormouse possum,0
Short-eared elephant shrew,0
Fat-tailed gerbil,0
Northern hopping mouse,0
Greater false vampire bat,0
Silver mountain vole,0
Dobson's long-tailed tenrec,0
Guinea multimammate mouse,0
Woolley's pseudantechinus,0
Greater Egyptian gerbil,0
Long-tailed vole,0
Fresno kangaroo rat,0
Australian hopping mouse,0
Cloudy short-tailed opossum,0
Sundevall's jird,0
European free-tailed bat,0
Naked mole-rat,0
Red-cheeked dunnart,0
Fawn antechinus,0
Western heather vole,0
Northern grasshopper mouse,0
Fat-tailed marsupial mouse,0
Korean field mouse,0
Vampire bat,0
Florida mouse,0
Little red kaluta,0
Grey red-backed vole,0
Long-tailed pygmy possum,0
Lesser Egyptian gerbil,0
Tullberg's rock rat,0
Yellow-necked mouse,0
Pencil-tailed tree mouse,0
Mouse-eared bat,0
Sandstone marsupial mouse,0
Noctule,0
Brown antechinus,0
Common vole,0
Japanese dormouse,0
Hazel dormouse,0
Eastern heather vole,0
Southern bog lemming,0
Forest dormouse,0
Murine mouse opossum,0
Woodland vole,0
Barbary striped grass mouse,0
Fat mouse,0
Pinyon mouse,0
Wood lemming,0
Fish-eating bat,0
Woodland jumping mouse,0
Cactus mouse,0
Kultarr,0
Monito del monte,0
Woodland dormouse,0
New Zealand lesser short-tailed bat,0
Hoary bat,0
Dzhungarian hamster,0
Greater horseshoe bat,0
Mediterranean pine vole,0
White-footed mouse,0
Lesser mouse-eared bat,0
Big brown bat,0
Old World wood and field mouse,0
Golden mouse,0
Southern grasshopper mouse,0
White-lined broad-nosed bat,0
Short-tailed shrew,0
Striped field mouse,0
Paraguayan slender mouse opossum,0
Red-backed mouse,0
Western jumping mouse,0
Pallid bat,0
House mouse,0
Deer mouse,0
Highland gerbil mouse,0
Rio Napo mouse opossum,0
Great Basin pocket mouse,0
Mouse-like hamster,0
European pine vole,0
Little yellow-shouldered bat,0
Afghan mouse-like hamster,0
African spiny mouse,0
Steppe lemming,0
Stripe-faced dunnart,0
Long-tailed pocket mouse,0
Particolored bat,0
Baluchistan gerbil,0
San Diego pocket mouse,0
Meadow jumping mouse,0
Fawn-colored mouse,0
Ningbing pseudantechinus,0
Serotine,0
Philippine pygmy fruit bat,0
Gray-bellied dunnart,0
Forest shrew,0
Canyon mouse,0
Lesser noctule,0
Seba's short-tailed bat,0
Fat-tailed dunnart,0
Pond bat,0
Eurasian water shrew,0
Geoffroy's tailless bat,0
Elliot's short-tailed shrew,0
Southern water shrew,0
Townsend's big-eared bat,0
Oldfield mouse,0
Nelson's pocket mouse,0
Northern bat,0
Brant's climbing mouse,0
Pygmy gliding possum,0
Dark kangaroo mouse,0
Brazilian free-tailed bat,0
Kimberly mouse,0
White-toothed shrew,0
Little long-tailed dunnart,0
Water shrew,0
Western broad-nosed bat,0
Gray big-eared bat,0
Western pebble-mound mouse,0
California leaf-nosed bat,0
Arizona pocket mouse,0
Ooldea dunnart,0
Bicolored white-toothed shrew,0
Western harvest mouse,0
Rafinesque's big-eared bat,0
Bechstein's bat,0
Geoffroy's bat,0
Pilbara ningaui,0
Alston's brown mouse,0
Ryukyu mouse,0
Nathusius's pipistrelle,0
Cave myotis,0
Pallas's long-tongued bat,0
Little brown bat,0
Crowned shrew,0
Pygmy planigale,0
Lesser hairy-footed dunnart,0
Silver-haired bat,0
Western barbastelle,0
Evening bat,0
Smaller horseshoe bat,0
Honey possum,0
Plains pocket mouse,0
Wongai ningaui,0
Gray myotis,0
Eurasian shrew,0
Southern free-tailed bat,0
Greater sac-winged bat,0
Northern birch mouse,0
Arctic shrew,0
Merriam's pocket mouse,0
Northern pygmy mouse,0
Brown big-eared bat,0
Silky pocket mouse,0
Natterer's bat,0
Alpine shrew,0
Eastern pipistrelle,0
Smoky shrew,0
Lesser shrew,0
Trowbridge's shrew,0
Little pocket mouse,0
Indiana bat,0
Vagrant shrew,0
Western long-eared myotis,0
Gray climbing mouse,0
Large-eared tenrec,0
Keen's myotis,0
Mouse,0
Eurasian pygmy shrew,0
Long-legged myotis,0
Paucident planigale,0
Brandt's bat,0
Fulvus roundleaf bat,0
Yuma myotis,0
Eastern small-footed myotis,0
Ornate shrew,0
Old World harvest mouse,0
Kuhl's pipistrelle,0
Montane shrew,0
Fringed myotis,0
Laxmann's shrew,0
Whiskered bat,0
Common pipistrelle,0
Least shrew,0
Lesser horseshoe bat,0
Narrow-nosed planigale,0
Long-tailed planigale,0
Cinereus shrew,0
Black myotis,0
White-toothed pygmy shrew,0
